job_id,job_role,company,experience,education,job_description
1,Full Stack Developer,CodeSphere,1-3 Years,B.Tech,"CodeSphere is hiring a Full Stack Developer. Required skills: Spring Boot, Java, AWS, React, REST API, Docker. Candidates should have 1-3 Years experience, B.Tech degree, and strong Communication."
2,Full Stack Developer,Insight Ltd,5+ Years,B.Tech,"Insight Ltd is hiring a Full Stack Developer. Required skills: Docker, Java, REST API, AWS, Spring Boot, Git. Candidates should have 5+ Years experience, B.Tech degree, and strong Communication."
3,Full Stack Developer,Insight Ltd,3-5 Years,B.Tech,"Insight Ltd is hiring a Full Stack Developer. Required skills: MySQL, AWS, Docker, Git, REST API, Java. Candidates should have 3-5 Years experience, B.Tech degree, and strong Problem Solving."
4,Full Stack Developer,CloudOps,1-3 Years,B.Tech,"CloudOps is hiring a Full Stack Developer. Required skills: Java, Docker, Spring Boot, MySQL, React, AWS. Candidates should have 1-3 Years experience, B.Tech degree, and strong Problem Solving."
5,Full Stack Developer,PixelSoft,5+ Years,B.Tech,"PixelSoft is hiring a Full Stack Developer. Required skills: Spring Boot, Java, MySQL, Docker, React, REST API. Candidates should have 5+ Years experience, B.Tech degree, and strong Communication."
6,Full Stack Developer,Insight Ltd,2-4 Years,B.Tech,"Insight Ltd is hiring a Full Stack Developer. Required skills: REST API, Git, Java, MySQL, AWS, React. Candidates should have 2-4 Years experience, B.Tech degree, and strong Problem Solving."
7,Full Stack Developer,CloudOps,0-2 Years,B.Tech,"CloudOps is hiring a Full Stack Developer. Required skills: MySQL, AWS, Java, Docker, Spring Boot, REST API. Candidates should have 0-2 Years experience, B.Tech degree, and strong Communication."
8,Full Stack Developer,CloudOps,2-4 Years,B.Tech,"CloudOps is hiring a Full Stack Developer. Required skills: Docker, React, MySQL, REST API, Spring Boot, AWS. Candidates should have 2-4 Years experience, B.Tech degree, and strong Problem Solving."
9,Full Stack Developer,NextGen,3-5 Years,B.Tech,"NextGen is hiring a Full Stack Developer. Required skills: Spring Boot, Git, AWS, REST API, Docker, Java. Candidates should have 3-5 Years experience, B.Tech degree, and strong Problem Solving."
10,Full Stack Developer,NextGen,2-4 Years,B.Tech,"NextGen is hiring a Full Stack Developer. Required skills: MySQL, AWS, React, Java, Spring Boot, Git. Candidates should have 2-4 Years experience, B.Tech degree, and strong Problem Solving."
11,Full Stack Developer,NextGen,3-5 Years,B.Tech,"NextGen is hiring a Full Stack Developer. Required skills: Spring Boot, REST API, Git, React, Docker, AWS. Candidates should have 3-5 Years experience, B.Tech degree, and strong Leadership."
12,Full Stack Developer,NextGen,5+ Years,B.Tech,"NextGen is hiring a Full Stack Developer. Required skills: React, REST API, Spring Boot, AWS, Docker, MySQL. Candidates should have 5+ Years experience, B.Tech degree, and strong Leadership."
13,Full Stack Developer,CodeSphere,0-2 Years,B.Tech,"CodeSphere is hiring a Full Stack Developer. Required skills: AWS, Spring Boot, Docker, Git, MySQL, Java. Candidates should have 0-2 Years experience, B.Tech degree, and strong Teamwork."
14,Full Stack Developer,Insight Ltd,3-5 Years,B.Tech,"Insight Ltd is hiring a Full Stack Developer. Required skills: React, Docker, AWS, MySQL, Java, Spring Boot. Candidates should have 3-5 Years experience, B.Tech degree, and strong Leadership."
15,Full Stack Developer,CodeSphere,2-4 Years,B.Tech,"CodeSphere is hiring a Full Stack Developer. Required skills: Git, REST API, Java, AWS, React, MySQL. Candidates should have 2-4 Years experience, B.Tech degree, and strong Problem Solving."
16,Full Stack Developer,VisionAI,1-3 Years,B.Tech,"VisionAI is hiring a Full Stack Developer. Required skills: Docker, Spring Boot, MySQL, Java, React, AWS. Candidates should have 1-3 Years experience, B.Tech degree, and strong Communication."
17,Full Stack Developer,DataMind,2-4 Years,B.Tech,"DataMind is hiring a Full Stack Developer. Required skills: Git, Docker, AWS, REST API, Spring Boot, Java. Candidates should have 2-4 Years experience, B.Tech degree, and strong Communication."
18,Full Stack Developer,TechNova,1-3 Years,B.Tech,"TechNova is hiring a Full Stack Developer. Required skills: AWS, MySQL, Java, REST API, React, Spring Boot. Candidates should have 1-3 Years experience, B.Tech degree, and strong Teamwork."
19,Full Stack Developer,DataMind,1-3 Years,B.Tech,"DataMind is hiring a Full Stack Developer. Required skills: Spring Boot, Java, AWS, MySQL, Docker, React. Candidates should have 1-3 Years experience, B.Tech degree, and strong Leadership."
20,Full Stack Developer,CloudOps,5+ Years,B.Tech,"CloudOps is hiring a Full Stack Developer. Required skills: React, REST API, Git, AWS, MySQL, Java. Candidates should have 5+ Years experience, B.Tech degree, and strong Problem Solving."
21,Full Stack Developer,CodeSphere,3-5 Years,B.Tech,"CodeSphere is hiring a Full Stack Developer. Required skills: Docker, AWS, REST API, React, MySQL, Git. Candidates should have 3-5 Years experience, B.Tech degree, and strong Teamwork."
22,Full Stack Developer,TechNova,1-3 Years,B.Tech,"TechNova is hiring a Full Stack Developer. Required skills: MySQL, Java, React, Docker, Spring Boot, AWS. Candidates should have 1-3 Years experience, B.Tech degree, and strong Communication."
23,Full Stack Developer,CloudOps,5+ Years,B.Tech,"CloudOps is hiring a Full Stack Developer. Required skills: Java, Spring Boot, REST API, AWS, React, Git. Candidates should have 5+ Years experience, B.Tech degree, and strong Problem Solving."
24,Full Stack Developer,NextGen,3-5 Years,B.Tech,"NextGen is hiring a Full Stack Developer. Required skills: REST API, Spring Boot, Git, Docker, MySQL, Java. Candidates should have 3-5 Years experience, B.Tech degree, and strong Teamwork."
25,Full Stack Developer,FinTechX,3-5 Years,B.Tech,"FinTechX is hiring a Full Stack Developer. Required skills: Spring Boot, Java, AWS, MySQL, React, REST API. Candidates should have 3-5 Years experience, B.Tech degree, and strong Communication."
26,Full Stack Developer,CloudOps,1-3 Years,B.Tech,"CloudOps is hiring a Full Stack Developer. Required skills: Spring Boot, Java, MySQL, React, Docker, AWS. Candidates should have 1-3 Years experience, B.Tech degree, and strong Leadership."
27,Full Stack Developer,FinTechX,0-2 Years,B.Tech,"FinTechX is hiring a Full Stack Developer. Required skills: React, MySQL, Spring Boot, REST API, Docker, Java. Candidates should have 0-2 Years experience, B.Tech degree, and strong Communication."
28,Full Stack Developer,NextGen,1-3 Years,B.Tech,"NextGen is hiring a Full Stack Developer. Required skills: Java, AWS, Git, REST API, Docker, MySQL. Candidates should have 1-3 Years experience, B.Tech degree, and strong Leadership."
29,Full Stack Developer,NextGen,0-2 Years,B.Tech,"NextGen is hiring a Full Stack Developer. Required skills: REST API, Spring Boot, MySQL, Java, Docker, AWS. Candidates should have 0-2 Years experience, B.Tech degree, and strong Problem Solving."
30,Full Stack Developer,PixelSoft,1-3 Years,B.Tech,"PixelSoft is hiring a Full Stack Developer. Required skills: REST API, React, MySQL, Git, AWS, Java. Candidates should have 1-3 Years experience, B.Tech degree, and strong Teamwork."
31,Full Stack Developer,TechNova,2-4 Years,B.Tech,"TechNova is hiring a Full Stack Developer. Required skills: Java, Git, AWS, Docker, REST API, React. Candidates should have 2-4 Years experience, B.Tech degree, and strong Communication."
